product_id,image_path,category,split
1,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18062_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
2,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18014_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
3,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18063_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
4,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18034_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
5,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18071_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
6,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18044_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
7,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18035_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
8,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18032_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
9,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18072_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
10,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18058_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
11,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18024_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
12,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18015_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
13,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18042_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
14,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18048_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
15,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18056_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
16,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18040_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
17,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18013_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
18,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18055_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
19,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18073_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
20,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18061_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
21,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18037_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
22,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18066_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
23,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18011_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
24,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18049_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
25,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18046_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
26,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18043_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
27,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18057_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
28,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18041_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
29,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18010_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
30,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18026_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
31,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18059_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
32,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18075_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
33,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18031_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
34,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18036_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
35,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18021_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
36,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18023_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
37,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18047_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
38,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18074_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
39,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18070_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
40,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18076_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
41,https://huggingface.co/datasets/Gantumur/ecommerce-images/resolve/main/ecommerce-product-images-18k.zip!data/ECOMMERCE_PRODUCT_IMAGES/check/HOME_KITCHEN_TOOLS/18052_HOME_K_check.jpeg,HOME_KITCHEN_TOOLS,check
